ᠪᡳ	bi	pi
ᡝᡵᡤᡝᠨ ᡤᠠᡳᠮᠪᡳ	ergen gaimbi	ər.kən
ᡳᠨᠵᡝᠮᠪᡳ	injembi	
ᠰᠠᠪᡠᠮᠪᡳ	sabumbi	
ᡩᠣᠨᠵᡳᠮᠪᡳ	donjimbi	
ᠰᠠᠮᠪᡳ	sambi	sam.pi
ᡤᡡᠨᡳᠮᠪᡳ	gūnimbi	
ᠸᠠᠩᡴᡳᠶᠠᠮᠪᡳ	wangkiyambi	
ᡤᡝᠯᡝᠮᠪᡳ	gelembi	
ᠠᠮᡤᠠᠮᠪᡳ	amgambi	am.qam.pi
ᠪᠠᠨᠵᡳᠮᠪᡳ	banjimbi	pan.t͡ɕim.pi
ᠪᡠᠴᡝᠮᠪᡳ	bucembi	pu.t͡ʃʰəm.pi
ᠸᠠᠮᠪᡳ	wambi	wam.pi
ᠠᡶᠠᠮᠪᡳ	afambi	
ᠠᠪᠠᠯᠠᠮᠪᡳ	abalambi	a.pa.lam.pi
ᡨᡡᠮᠪᡳ	tūmbi	
ᡶᡠᡵᡠᠮᠪᡳ	furumbi	
ᡩᡝᠨᡩᡝᠮᠪᡳ	dendembi	
ᠨᡠᡴᠠᠮᠪᡳ	nukambi	
ᠸᠠᡧᠠᠮᠪᡳ	wašambi	
ᡶᡝᡨᡝᠮᠪᡳ	fetembi	
ᡝᠯᠪᡳᡧᡝᠮᠪᡳ	elbišembi	
ᡩᡝᠶᡝᠮᠪᡳ	deyembi	tə.jəm.pi
ᠣᡴᠰᠣᠮᠪᡳ	oksombi	
ᠵᡳᠮᠪᡳ	jimbi	t͡ɕim.pi
ᡩᡝᡩᡠᠮᠪᡳ	dedumbi	
ᡨᡝᠮᠪᡳ	tembi	tʰəm.pi
ᡳᠯᡳᠮᠪᡳ	ilimbi	i.lim.pi
ᡶᠣᡵᡤᠣᡧᠣᠮᠪᡳ	forgošombi	
ᡨᡠᡥᡝᠮᠪᡳ	tuhembi	
ᠪᡠᠮᠪᡳ	bumbi	
ᠵᠠᡶᠠᠮᠪᡳ	jafambi	
ᠰᡳᡵᡳᠮᠪᡳ	sirimbi	
ᠮᠣᠨᠵᡳᠮᠪᡳ	monjimbi	
ᠣᠪᠣᠮᠪᡳ	obombi	ɔ.pɔm.pi
ᠮᠠᠪᡠᠯᠠᠮᠪᡳ	mabulambi	ma.pu.lam.pi
ᡨᠠᡨᠠᠮᠪᡳ	tatambi	tʰa.tʰam.pi
ᠠᠨᠠᠮᠪᡳ	anambi	a.nam.pi
ᡶᠠᡥᠠᠮᠪᡳ	fahambi	
ᡥᡡᠸᠠᡳᡨᠠᠮᠪᡳ	hūwaitambi	
ᡳᡶᡳᠮᠪᡳ	ifimbi	
ᡨᠣᠯᠣᠮᠪᡳ	tolombi	
ᡤᡳᠰᡠᡵᡝᠮᠪᡳ	gisurembi	ki.su.rəm.pi
ᡠᠴᡠᠯᡝᠮᠪᡳ	uculembi	
ᡝᡶᡳᠮᠪᡳ	efimbi	
ᡩᡝᡴᡩᡝᠮᠪᡳ	dekdembi	
ᡝᠶᡝᠮᠪᡳ	eyembi	
ᡤᡝᠴᡝᠮᠪᡳ	gecembi	kə.t͡ʃʰəm.pi
ᠮᠠᡩᠠᠮᠪᡳ	madambi	
ᡧᡠᠨ	šun	ʃun
ᠪᡳᠶᠠ	biya	pja
ᡠᠰᡳᡥᠠ	usiha	u.ɕi.χa
ᠮᡠᡴᡝ	muke	mu.kʰə
ᠠᡤᠠ	aga	a.qa
ᠪᡳᡵᠠ	bira	pi.ra
ᠨᠣᠣᡵ	noor	noːr
		
ᡩᠠᠪᠰᡠᠨ	dabsun	tap.sun
ᠸᡝᡥᡝ	wehe	wə.χə
ᠶᠣᠩᡤᠠᠨ	yonggan	jɔŋ.ŋan
		
ᠨᠠ	na	na
ᡨᡠᡤᡳ	tugi	tʰu.ki
		
ᠠᠪᡴᠠ	abka	ap.qʰa
ᡝᡩᡠᠨ	edun	ə.tun
ᠨᡳᠮᠠᠩᡤᡳ	nimanggi	ni.maŋ.ŋi
		
		
ᡨᡠᠸᠠ	tuwa	tʰwa
		
		
		
ᠠᠯᡳᠨ	alin	a.lin
		
		
		
		
		
ᡩᠣᠪᠣᡵᡳ	dobori	tɔ.pɔ.ri
ᡳᠨᡝᠩᡤᡳ	inenggi	i.nəŋ.ŋi
ᠠᠨᡳᠶᠠ	aniya	a.ɲa
		
		
		
		
		
ᠰᠠᡳᠨ	sain	sain
ᡝᡥᡝ	ehe	ə.χə
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
