εγώ	egó	eˈɣo
γελάω	geláo	ʝeˈlao
βλέπω	vlépo	ˈvlepo
ακούω	akoúo	aˈkuo
ξέρω	xéro	ˈksero
σκέφτομαι	skéftomai	ˈsceftome
μυρίζω	myrízo	miˈrizo
φοβάμαι	fovámai	foˈvame
κοιμάμαι	koimámai	ciˈmame
ζω	zo	zo
πεθαίνω	pethaíno	peˈθeno
σκοτώνω	skotóno	skoˈtono
μαλώνω	malóno	maˈlono
κυνηγώ	kynigó	ciniˈɣo
χτυπώ	chtypó	xtiˈpo
κόβω	kóvo	ˈkovo
χωρίζω	chorízo	xoˈrizo
μαχαιρώνω	machairóno	maçeˈrono
ξύνω	xýno	ˈksino
σκάβω	skávo	ˈskavo
κολυμπώ	kolympó	kolimˈbo
πετάω	petáo	peˈtao
περπατώ	perpató	perpaˈto
έρχομαι	érchomai	ˈerxome
ξαπλώνω	xaplóno	ksaˈplono
κάθομαι	káthomai	ˈkaθome
στέκομαι	stékomai	ˈstekome
γυρίζω	gyrízo	ʝiˈrizo
πέφτω	péfto	ˈpefto
δίνω	díno	ˈðino
κρατάω	kratáo	kraˈtao
ζουλάω	zouláo	zuˈlao
τρίβω	trívo	ˈtrivo
πλένω	pléno	ˈpleno
σκουπίζω	skoupízo	skuˈpizo
τραβώ	travó	traˈvo
σπρώχνω	spróchno	ˈzbroxno
ρίχνω	ríchno	ˈrixno
δένω	déno	ˈðeno
ράβω	rávo	ˈravo
μετράω	metráo	meˈtrao
λέω	léo	ˈleo
τραγουδώ	tragoudó	traɣuˈðo
παίζω	paízo	ˈpezo
πλέω	pléo	ˈpleo
τρέχω	trécho	ˈtrexo
παγώνω	pagóno	paˈɣono
φουσκώνω	fouskóno	fuˈskono
ήλιος	ílios	ˈiʎos
φεγγάρι	fengári	feˈŋɡari
αστέρι	astéri	aˈsteri
νερό	neró	neˈro
βροχή	vrochí	vroˈçi
ποτάμι	potámi	poˈtami
λίμνη	límni	ˈlimni
θάλασσα	thálassa	ˈθalasa
αλάτι	aláti	aˈlati
πέτρα	pétra	ˈpetra
άμμος	ámmos	ˈamos
σκόνη	skóni	ˈskoni
γη	gi	ʝi
σύννεφο	sýnnefo	ˈsinefo
ομίχλη	omíchli	oˈmixli
ουρανός	ouranós	uraˈnos
αέρας	aéras	aˈeras
χιόνι	chióni	ˈçoni
πάγος	págos	ˈpaɣos
καπνός	kapnós	kaˈpnos
φωτιά	fotiá	foˈtça
στάχτη	stáchti	ˈstaxti
καίω	kaío	ˈceo
δρόμος	drómos	ˈðromos
βουνό	vounó	vuˈno
κόκκινος	kókkinos	ˈkocinos
πράσινος	prásinos	ˈprasinos
κίτρινος	kítrinos	ˈcitrinos
άσπρος	áspros	ˈaspros
μαύρος	mávros	ˈmavros
νύχτα	nýchta	ˈnixta
μέρα	méra	ˈmera
χρόνος	chrónos	xronos
ζεστός	zestós	zeˈstos
κρύος	krýos	ˈkrios
γεμάτος	gemátos	ʝeˈmatos
καινούργιος	kainoúrgios	ceˈnurʝos
παλιός	paliós	paˈʎos
καλός	kalós	kaˈlos
κακός	kakós	kaˈkos
σάπιος	sápios	ˈsapços
βρόμικος	vrómikos	ˈvromikos
ίσιος	ísios	ˈisços
στρογγυλός	strongylós	stroɲɟiˈlos
κοφτερός	kofterós	kofteˈros
στομωμένος	stomoménos	stomoˈmenos
λείος	leíos	ˈlios
βρεγμένος	vregménos	vreɣˈmenos
στεγνός	stegnós	steˈɣnos
σωστός	sostós	soˈstos
κοντά	kontá	koˈnda
μακριά	makriá	makriˈa
δεξιά	dexiá	ðeksiˈa
αριστερά	aristerá	aristeˈra
σε	se	se
μέσα	mésa	ˈmesa
με	me	me
και	kai	ce
εάν	eán	eˈan
επειδή	epeidí	epiˈði
όνομα	ónoma	ˈonoma
