እኔ	ʾəne	ˈ(ʔ)ɨne
እንቁላል	ʾənḳulal	
ቀንድ	ḳänd	
ጅራት	ǧərat	ˈd͡ʒɨrat
ላባ	laba	
ጸጉር	ṣägur	
ጭንቅላት	č̣ənḳəlat	t͡ʃʼɨnˈkʼɨlːat
ጆሮ	ǧoro	
አይን	ʾäyn	
አፍንጫ	ʾäfnəč̣a	ˈ(ʔ)afɨnt͡ʃʼa
አፍ	ʾäf	əf
ጥርስ	ṭərs	ˈtʼɨɾs
ምላስ	məlas	ˈmɨlas
ጥፍር	ṭəfr	
የእግር መዳፍ	yäʾgər mädaf	
እግር	ʾəgr	ˈ(ʔ)ɨɡɨɾ
ጉልበት	gulbät	ˈɡulbət
እጅ	ʾəǧ	ˈ(ʔ)ɨd͡ʒː
ክንፍ	kənf	ˈkɨnf
ሆድ	hod	ˈhod
ጉሮሮ	guroro	
አንገት	ʾängät	
ጀርባ	ǧärba	
ጡት	ṭut	ˈtʼut
ልብ	ləb	ˈlɨbː
ጉበት	gubät	ˈɡubːət
መጠጣት	mäṭäṭat	
መብላት	mäblat	
መንከስ	mänkäs	
መጥባት	mäṭbat	
መትፋት	mätfat	
ማስታወክ	mastawäk	
መንፈስ	mänfäs	
መተንፈስ	mätänfäs	
መሳቅ	mäsaḳ	ˈməsakʼ
ማየት	mayät	
መስማት	mäsmat	
ማዎቅ	mawoḳ	
ማሰብ	masäb	
ማሽተት	maštät	
መፍራት	mäfrat	
መተኛት	mätäñat	
መኖር	mänor	
መሞት	mämot	ˈməmot
መግደል	mägdäl	
መታገል	mätagäl	
ማደን	madän	
መምታት	mämtat	
መቁረጥ	mäḳuräṭ	
መነጣጠል	mänäṭaṭäl	
መዉጋት	mäwugat	
መፋቅ	mäfaḳ	
መቆፈር	mäḳofär	
መዋኘት	mäwañät	
መብረር	mäbrär	
መሄድ	mähed	ˈməhed
መምጣት	mämṭat	
መጋደም	mägadäm	
መቀመጥ	mäḳämäṭ	
መቆም	mäḳom	
መታጠፍ	mätaṭäf	
መዉደቅ	mäwudäḳ	
መስጠት	mäsṭät	
መያዝ	mäyaz	
መጫን	mäč̣an	
መቦረሽ	mäboräš	
ማጠብ	maṭäb	
ማሸት	መፈተግ	
መጎተት	mägotät	
መግፋት	mägfat	
መወርወር	mäwärwär	
ማሰር	masär	
ሰስፋት	säsfat	
መቁጠር	mäḳuṭär	
መናገር	mänagär	
መዘመር	mäzämär	
መጫወት	mäč̣awät	
መንሳፈፍ	mänsafäf	
መዉረድ	mäwuräd	
መቀዝቀዝ	mäḳäzḳäz	
ማበጥ	mabäṭ	
ጸሀይ	ṣähäy	
ጨረቃ	č̣äräḳa	ˈt͡ʃʼəɾəkʼa
ኮከብ	kokäb	ˈkokəb
ዉሃ	wuha	
ዝናብ	zənab	ˈzɨnab
ወንዝ	wänz	ˈwənz
ሀይቅ	häyḳ	ˈhajkʼ
ባህር	bahr	
ጨዉ	č̣äwu	t͡ʃʼəw
ድንጋይ	dəngay	ˈdɨnɡaj
አሸዋ	ʾäšäwa	
አባራ	ʾäbara	
መሬት	märet	
ደመና	dämäna	ˈdəmːəna
ጭጋግ	č̣əgag	
ሰማይ	sämay	
ነፋስ	näfas	
ብናኝ	bənañ	
በረዶ	bärädo	
ጭስ	č̣əs	t͡ʃʼɨs
እሳት	ʾəsat	ˈ(ʔ)ɨsat
አመድ	ʾämäd	
ማቃጠል	maḳaṭäl	
መንገድ	mängäd	
ተራራ	tärara	
ቀይ	ḳäy	
አረንገዴ	ʾärängäde	
ቢጫ	bič̣a	ˈbit͡ʃʼa
ነጭ	näč̣	ˈnət͡ʃʼ
ጥቁር	ṭəḳur	t̪ʼəkur
ሌሊት	lelit	
ቀን	ḳän	
አመት	ʾämät	ˈ(ʔ)amət
ሙቅ	muḳ	
ቀዝቃዛ	ḳäzḳaza	kʼəzˈkʼəzːa
ሙሉ	mulu	
አዲስ	ʾädis	ˈ(ʔ)adːis
አሮጌ	ʾäroge	
ጥሩ	ṭəru	
መጥፎ	mäṭfo	
የገማ	yägäma	
ቆሻሻ	ḳošaša	
ቀጥታ	ḳäṭta	
ክብ	kəb	ˈkɨb
ስለት	səlät	
የዶለዶመ	yädolädomä	
ለስላሳ	läslasa	
ርጥብ	rəṭb	
ደረቅ	däräḳ	
ትክክል	təkkəl	
ቅርብ	ḳərb	
ሩቅ	ruḳ	ˈɾukʼ
ቀኝ	ḳäñ	
ግራ	gəra	ˈɡɨɾa
ላይ	lay	
ዉስጥ	wusṭ 	
ከ….ጋር	kä….gar	
እና	ʾəna	
ቢሆን	bihon	
ምክንያቱም	məknəyatum	
ስም	səm	ˈsɨm
