Phone	Voiced	Manner	Occlusive	Rhotic	Lateral	Strident	Sibilant	Place
ʒ	TRUE	FRICATIVE	FALSE	FALSE	FALSE	TRUE	TRUE	POST_ALVEOLAR
ʑ	TRUE	FRICATIVE	FALSE	FALSE	FALSE	TRUE	TRUE	POST_ALVEOLAR
ʐ	TRUE	FRICATIVE	FALSE	FALSE	FALSE	TRUE	TRUE	RETROFLEX
ʁ	TRUE	FRICATIVE	FALSE	TRUE	FALSE	TRUE	FALSE	UVULAR
ɣ	TRUE	FRICATIVE	FALSE	FALSE	FALSE	FALSE	FALSE	VELAR
n	TRUE	NASAL	TRUE	FALSE	FALSE	FALSE	FALSE	ALVEOLAR
m	TRUE	NASAL	TRUE	FALSE	FALSE	FALSE	FALSE	BILABIAL
ɱ	TRUE	NASAL	TRUE	FALSE	FALSE	FALSE	FALSE	LABIODENTAL
ɲ	TRUE	NASAL	TRUE	FALSE	FALSE	FALSE	FALSE	PALATAL
ɳ	TRUE	NASAL	TRUE	FALSE	FALSE	FALSE	FALSE	RETROFLEX
ɴ	TRUE	NASAL	TRUE	FALSE	FALSE	FALSE	FALSE	UVULAR
ŋ	TRUE	NASAL	TRUE	FALSE	FALSE	FALSE	FALSE	VELAR
t	FALSE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	ALVEOLAR
p	FALSE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	BILABIAL
ʔ	FALSE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	GLOTTAL
c	FALSE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	PALATAL
ʡ	FALSE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	PHARYNGEAL
ʈ	FALSE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	RETROFLEX
q	FALSE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	UVULAR
k	FALSE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	VELAR
d	TRUE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	ALVEOLAR
b	TRUE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	BILABIAL
ɟ	TRUE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	PALATAL
ɖ	TRUE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	RETROFLEX
ɢ	TRUE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	UVULAR
ɡ	TRUE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	VELAR
g	TRUE	PLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	VELAR
ɧ	FALSE	SEMIVOWEL	FALSE	FALSE	FALSE	FALSE	FALSE	VELAR
ʍ	FALSE	SEMIVOWEL	FALSE	FALSE	FALSE	FALSE	FALSE	VELAR
w	TRUE	SEMIVOWEL	FALSE	FALSE	FALSE	FALSE	FALSE	BILABIAL
ʋ	TRUE	SEMIVOWEL	FALSE	FALSE	FALSE	FALSE	FALSE	LABIODENTAL
j	TRUE	SEMIVOWEL	FALSE	FALSE	FALSE	FALSE	FALSE	PALATAL
ɥ	TRUE	SEMIVOWEL	FALSE	FALSE	FALSE	FALSE	FALSE	PALATAL
ɰ	TRUE	SEMIVOWEL	FALSE	FALSE	FALSE	FALSE	FALSE	VELAR
ɾ	TRUE	TAP	FALSE	TRUE	FALSE	FALSE	FALSE	ALVEOLAR
ɺ	TRUE	TAP	FALSE	TRUE	TRUE	FALSE	FALSE	ALVEOLAR
ⱱ	TRUE	TAP	FALSE	FALSE	FALSE	FALSE	FALSE	LABIODENTAL
ɽ	TRUE	TAP	FALSE	TRUE	FALSE	FALSE	FALSE	RETROFLEX
ʜ	FALSE	TRILL	FALSE	FALSE	FALSE	FALSE	FALSE	PHARYNGEAL
r	TRUE	TRILL	FALSE	TRUE	FALSE	FALSE	FALSE	ALVEOLAR
ʙ	TRUE	TRILL	FALSE	FALSE	FALSE	FALSE	FALSE	BILABIAL
ʢ	TRUE	TRILL	FALSE	FALSE	FALSE	FALSE	FALSE	PHARYNGEAL
ʀ	TRUE	TRILL	FALSE	TRUE	FALSE	FALSE	FALSE	UVULAR
ʘ	FALSE	CLICK	TRUE	FALSE	FALSE	FALSE	FALSE	BILABIAL
ǀ	FALSE	CLICK	TRUE	FALSE	FALSE	FALSE	FALSE	DENTAL
ǃ	FALSE	CLICK	TRUE	FALSE	FALSE	FALSE	FALSE	ALVEOLAR
ǂ	FALSE	CLICK	TRUE	FALSE	FALSE	FALSE	FALSE	PALATAL
ǁ	FALSE	CLICK	TRUE	FALSE	TRUE	FALSE	FALSE	POST_ALVEOLAR
ɓ	TRUE	IMPLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	BILABIAL
ɗ	TRUE	IMPLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	ALVEOLAR
ʄ	TRUE	IMPLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	PALATAL
ɠ	TRUE	IMPLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	VELAR
ʛ	TRUE	IMPLOSIVE	TRUE	FALSE	FALSE	FALSE	FALSE	UVULAR
