我	nguāi	ŋuai³³
日中	nĭk-dŏng	niʔ⁵⁵ toŋ⁵⁵
年	nièng	nieŋ⁵³
熱	iĕk	ieʔ⁵⁵
凊	chéng	tsʰeiŋ²¹³
滿		muaŋ³³
新	sĭng	siŋ⁵⁵
舊		kou²⁴²
好		ho³³
呆	ngài	ŋai⁵³
飲腐		aŋ⁵⁵ pou²⁴²
拉渣		la⁵⁵ ʒia⁵⁵
直	dĭk	tiʔ⁵⁵
圓	kuàng	ieŋ⁵³
利		lɛ²¹³
𣍐利		mɛ⁵³ lɛ²¹³
滑		koʔ⁵⁵
潤	 	nɔŋ²¹³
焦		ta⁵⁵
正確	ciáng-káuk	tsiaŋ⁵³ kɑuʔ³⁵
近	gê̤ṳng	køyŋ²⁴²
遠		huɔŋ²⁴²
右	iêu	iɛu²⁴²
左	cō̤	tso³³
敆		kaʔ⁵⁵
裡勢	diē-sié	tie⁵⁵ liɛ²¹³
共		køyŋ²⁴²
共		køyŋ²⁴²
若是	iŏk-sê	na⁵² lei²⁴²
因為	ĭng-ôi	iŋ⁵³ uoi²⁴²
名字	miàng-cê	miɑŋ²¹ ʒei²⁴²
