我	a	ɰᵝa̠ɾe̞
聞く	kiku	kʲi̥kɯ̟ᵝ
知る	shiru	ɕiɾɯ̟ᵝ
思う	omou	o̞mo̞ɯ̟ᵝ
嗅ぐ	kagu	ka̠ɡɯ̟ᵝ
恐れる	osoreru	o̞so̞ɾe̞ɾɯ̟ᵝ
寝る	neru	ne̞ɾɯ̟ᵝ
生きる	ikiru	ikʲiɾɯ̟ᵝ
死ぬ	shinu	ɕinɯ̟ᵝ
殺す	korosu	ko̞ɾo̞sɨᵝ
戦う	tatakau	ta̠ta̠ka̠ɯ̟ᵝ
狩る	karu	ka̠ɾɯ̟ᵝ
叩く	tataku	ta̠ta̠kɯ̟ᵝ
切る	kiru	kʲiɾɯ̟ᵝ
割る	waru	ɰᵝa̠ɾɯ̟ᵝ
刺す	sasu	sa̠sɨᵝ
掻く	kaku	ka̠kɯ̟ᵝ
掘る	horu	ho̞ɾɯ̟ᵝ
泳ぐ	oyogu	o̞jo̞ɡɯ̟ᵝ
飛ぶ	tobu	to̞bɯ̟ᵝ
歩く	aruku	a̠ɾɯ̟ᵝkɯ̟ᵝ
来る	kuru	kɯ̟ᵝɾɯ̟ᵝ
寝る	neru	ne̞ɾɯ̟ᵝ
座る	suwaru	sɨᵝɰᵝa̠ɾɯ̟ᵝ
立つ	tatsu	ta̠t͡sɨᵝ
回る	mawaru	ma̠ɰᵝa̠ɾɯ̟ᵝ
落ちる	ochiru	o̞t͡ɕiɾɯ̟ᵝ
与える	ataeru	a̠ta̠e̞ɾɯ̟ᵝ
持つ	motsu	mo̞t͡sɨᵝ
絞る	shiboru	ɕibo̞ɾɯ̟ᵝ
擦る	kosuru	sɨᵝɾɯ̟ᵝ
洗う	arau	a̠ɾa̠ɯ̟ᵝ
拭く	fuku	ɸɯ̟̊ᵝkɯ̟ᵝ
引く	hiku	çi̥kɯ̟ᵝ
押す	osu	o̞sɨᵝ
投げる	nageru	na̠ɡe̞ɾɯ̟ᵝ
結ぶ	musubu	mɯ̟ᵝsɨᵝbɯ̟ᵝ
縫う	nuu	nɯ̟ᵝː
数える	kazoeru	ka̠zo̞e̞ɾɯ̟ᵝ
言う	iu	jɯ̟ᵝː
歌う	utau	ɯ̟ᵝta̠ɯ̟ᵝ
遊ぶ	asobu	a̠so̞bɯ̟ᵝ
浮く	uku	ɯ̟ᵝkɯ̟ᵝ
流れる	nagareru	na̠ɡa̠ɾe̞ɾɯ̟ᵝ
凍る	kōru	ko̞ːɾɯ̟ᵝ
膨らむ	fukuramu	ɸɯ̟ᵝkɯ̟ᵝɾa̠mɯ̟ᵝ
日	hi	çi
月	tsuki	t͡sɨ̥ᵝkʲi
星	hoshi	ho̞ɕi
水	mizu	mʲizɨᵝ
雨	ame	a̠me̞
川	kawa	ka̠ɰᵝa̠
湖	mizuumi	mʲizɨᵝɯ̟ᵝmʲi
海	umi	ɯ̟ᵝmʲi
塩	shio	ɕio̞
石	ishi	iɕi
砂	suna	sɨᵝna̠
塵	chiri	
土	tsuchi	t͡sɨ̥ᵝt͡ɕi
雲	kumo	kɯ̟ᵝmo̞
霧	kiri	kiri
空	sora	so̞ɾa̠
風	kaze	ka̠ze̞
雪	yuki	jɯ̟ᵝkʲi
氷	kōri	ko̞ːɾʲi
煙	kemuri	ke̞mɯ̟ᵝɾʲi
火	hi	çi
灰	hai	ha̠i
燃える	moeru	mo̞e̞ɾɯ̟ᵝ
道	michi	mʲit͡ɕi
山	yama	ja̠ma̠
赤	aka	a̠ka̠
緑	midori	mʲido̞ɾʲi
黄	ki	kʲi
白	shiro	ɕiɾo̞
黒	kuro	kɯ̟ᵝɾo̞
夜	yoru	jo̞ɾɯ̟ᵝ
日	hi	çi
年	toshi	to̞ɕi
暖かい	atatakai	a̠ta̠ta̠ka̠i
寒い	samui	sa̠mɯ̟ᵝi
満ちた	michita	
新	nī	ɲ̟i
古い	furui	ɸɯ̟ᵝɾɯ̟ᵝi
良い	yoi	jo̞i
悪い	warui	ɰᵝa̠ɾɯ̟ᵝi
腐った	kusatta	
汚い	kitanai	kʲi̥ta̠na̠i
真っ直ぐ	massugu	ma̠sːɯ̟ᵝɡɯ̟ᵝ
丸い	marui	ma̠ɾɯ̟ᵝi
鋭い	surudoi	sɨᵝɾɯ̟ᵝdo̞i
鈍い	nibui	ɲ̟ibɯ̟ᵝi
滑らか	nameraka	
濡れた	nureta	
乾いた	kawaita	
正しい	tadashī	ta̠da̠ɕii
近い	chikai	t͡ɕi̥ka̠i
遠い	tōi	to̞ːi
右	migi	mʲiɡʲi
左	hidari	çida̠ɾʲi
で	de	de̞
で	de	de̞
と	to	to̞
と	to	to̞
もし	moshi	mo̞ɕi
から	kara	ka̠ɾa̠
名	na	na̠
