म	ma	mʌ
सिङ	siṅ	
पुच्छर	pucchar	
प्वाँख	pwā̃kh	
कपाल	kapāl	kʌpäl
टाउको	ṭāuko	ʈäu̯ko
कान	kān	
आँखा	ā̃khā	ä̃k̞ʰä
नाक	nāk	näk
मुख	mukh	muk̞ʰ
दाँत	dā̃t	d̪ä̃t̪
जिब्रो	jibro	d͡zibro
नङ	naṅ	nʌŋ
पाउ	pāu	päu̯
गोडा	goḍā	ɡoɽä
घुँडा	ghũḍā	
हात	hāt	ɦät̪
पखेटा	pakheṭā	
पेट	peṭ	
आन्‍द्रा	ānadrā	
गर्दन	gardan	
आङ	āṅ	äŋ
छाती	chātī	
मुटु	muṭu	muʈu
कलेजो	kalejo	kʌle(d)zo
पिउनु	piunu	piu̯nu
खानु	khānu	kʰänu
टोक्नु	ṭoknu	ʈoknu
चुस्नु	cusnu	t͡susnu
थुक्नु	thuknu	t̪ʰuknu
वान्ता	vāntā garnu	
फुक्नु	phuknu	pʰuknu
सास	sās phernu	
हाँस्नु	hā̃snu	ɦä̃snu
हेर्नु	hernu	ɦernu
सुन्नु	sunnu	sunːu
चिन्नु	cinnu	t͡sinːu
सोच्नु	socnu	sot͡snu
सुँघ्नु	sũghnu	sũɡ̞nu
डराउनु	ḍarāunu	ɖʌɾäu̯nu
सुत्नु	sutnu	sut̪n̪u
बाँच्नु	bā̃cnu	bä̃t͡snu
मर्नु	marnu	mʌrnu
मार्नु	mārnu	märnu
लड्नु	laḍnu	lʌɽɳu
सिकार	sikār garnu	sikär
हान्नु	hānnu	ɦänːu
काट्नु	kāṭnu	käʈɳu
बाँड्नु	bā̃ḍnu	bä̃ɽɳu
घोप्नु	ghopnu	ɡʱo̤pnu
कोतर्नु	kotarnu	kot̪ʌrnu
खन्नु	khannu	kʰʌnːu
पौडिनु	pauḍinu	pʌu̯ɽinu
उड्नु	uḍnu	uɽɳu
हिँड्नु	hĩḍnu	ɦĩɽɳu
आउनु	āunu	äu̯nu
तेर्सिनु	tersinu	t̪ersinu
बस्नु	basnu	bʌsnu
उठ्नु	uṭhnu	uʈʰɳu
मोड्नु	moḍnu	moɽɳu
खस्नु	khasnu	kʰʌsnu
दिनु	dinu	d̪inu
लिनु	linu	linu
निचोर्नु	nicornu	nit͡sornu
घोट्नु	ghoṭnu	ɡʱo̤ʈɳu
धुनु	dhunu	d̪ʱṳnu
पुछ्नु	puchnu	put͡sʰnu
तान्नु	tānnu	t̪änːu
धकेल्नु	dhakelnu	d̪ʱʌ̤kelnu
फाल्नु	phālnu	pʰälnu
बाँध्नु	bā̃dhnu	bä̃d̪n̪u
सिउनु	siunu	siu̯nu
गन्नु	gannu	ɡʌnːu
भन्नु	bhannu	bʱʌ̤nːu
गाउनु	gāunu	ɡäu̯nu
खेल्नु	khelnu	kʰelnu
तैरिनु	tairinu	t̪ʌi̯ɾinu
बग्नु	bagnu	bʌɡ̞nu
जम्नु	jamnu	d͡zʌmnu
सुन्निनु	sunninu	sunːinu
घाम	ghām	ɡʱä̤m
जुन	jun	d͡zun
तारा	tārā	t̪äɾä
पानी	pānī	päni
वर्षा	varṣā	bʌrsä
नदी	nadī	nʌd̪i
ताल	tāl	t̪äl
समुन्द्र	samundra	
नुन	nun	nun
ढुङ्गा	ḍhuṅgā	ɖʱṳŋɡä
बालुवा	bāluwā	bäluwä
धुलो	dhulo	d̪ʱṳlo
धर्ती	dhartī	d̪ʱʌ̤rt̪i
बादल	bādal	bäd̪ʌl
कुइरो	kuiro	kui̯ɾo
आकाश	ākāś	äkäs
हावा	hāwā	ɦäwä
हिउँ	hiũ	ɦiũ
बरफ	baraph	bʌɾʌɸ
धुवाँ	dhuwā̃	d̪ʱṳwä̃
आगो	āgo	äɡ̞o
खरानी	kharānī	kʰʌɾäni
जल्नु	jalnu	d͡zʌlnu
बाटो	bāṭo	bäʈo
पहाड	pahāḍ	pä̤ːɽ
रातो	rāto	rät̪o
हरियो	hariyo	ɦʌɾijo
पहेँलो	pahẽlo	pʌ(ɦ)ẽlo
सेतो	seto	set̪o
कालो	kālo	kälo
रात	rāt	rät̪
दिन	dina	d̪in
वर्ष	varṣa	
न्यानो	nyāno	njäno
ठंडा	ṭhaṇḍā	
भरी	bharī	
नयाँ	nayā̃	nʌjä̃
पुरानो	purāno	puɾäno
राम्रो	rāmro	rämro
नराम्रो	narāmro	nʌɾämro
कुइएको	kuieko	
मैलो	mailo	mʌi̯lo
सीधा	sīdhā	
गोलो	golo	ɡolo
तिखो	tikho	t̪ik̞ʰo
बोधो	bodho	bod̪o
सम्म	samma	sʌmːʌ
गीलो	gīlo	ɡilo
सुक्खा	sukkhā	suk̚kʰä
सही	sahī	
नजिक	najik	nʌ(d)zik
टाढा	ṭāḍhā	ʈäɽä
दाहिने	dāhine	d̪äi̯ne
बाहिने	bāhine	
मा	mā	mä
मा	mā	mä
सँग	saṅga	sʌŋɡʌ
र	ra	rʌ
यदि	yadi	ed̪i
किनभने	kinabhane	kinʌbʌne
नाम	nām	näm
