مەن‎	men	mæn
قۇلاق‎	qulaq	
كۆز‎	köz	køz
بۇرۇن‎	burun	burun
ئاغىز‎	aghiz	
چىش‎	chish	t͡ʃiʃ
تىل‎	til	
تىرناق‎	tirnaq	tirnɑq
ئاياق‎	ayaq	ʔɑjɑq
پۇت‎	put	put
تىز‎	tiz	tiz
قول‎	qol	
قانات‎	qanat	
قورساق‎	qorsaq	
ئۈچەي‎	üchey	
بويۇن‎	boyun	bojun
ئارقا‎	arqa	ʔɑrqɑ
ئەمچەك‎	emchek	
يۈرەك‎	yürek	
جىگەر‎	jiger	d͡ʒiɡɛr
ئىچمەك‎	ichmek	
يىمەك‎	yimek	
چىشلىمەك‎	chishlimek	
ئەممەك‎	emmek	
تۈكۈرمەك‎	tükürmek	
قۇسماق‎	qusmaq	
پۈۋدىمەك‎	püwdimek	
نەپەس ئالماق‎	nepes almaq	
كۈلمەك‎	külmek	
كۆرمەك‎	körmek	
ئاڭلىماق‎	anglimaq	
بىلمەك‎	bilmek	
ئويلىماق‎	oylimaq	
پۇرىماق‎	purimaq	
قورقماق‎	qorqmaq	
ئۇخلىماق‎	uxlimaq	
ياشىماق‎	yashimaq	
ئۆلمەك‎	ölmek	œlmæk̚
ئۆلتۈرمەك‎	öltürmek	
سوقۇشماق‎	soqushmaq	
ئوۋلىماق‎	owlimaq	
ئۇرماق‎	urmaq	
كەسمەك‎	kesmek	
يارماق‎	yarmaq	
تىقماق‎	tiqmaq	
تىرناقلىماق‎	tirnaqlimaq	
kolimaq	qazmaq	
سۇ ئۈزمەك‎	su üzmek	
ئۇچماق‎	uchmaq	
ماڭماق‎	mangmaq	
كەلمەك‎	kelmek	kʰæː.mæk
ياتماق‎	yatmaq	
ئولتۇرماق‎	olturmaq	
تۇرماق‎	turmaq	
بۇرىماق‎	burimaq	
چۈشمەك‎	chüshmek	
بەرمەك‎	bermek	bɛrmɛk
تۇتماق‎	tutmaq	tutmɑq
قىسماق‎	qismaq	
سۈركىمەك‎	sürkimek	
يۇيماق‎	yuymaq	
سۈرتمەك‎	sürtmek	
تارتماق‎	tartmaq	
ئىتتەرمەك‎	ittermek	
تاشلىماق‎	tashlimaq	
باغلىماق‎	baghlimaq	
تىكمەك‎	tikmek	
سانىماق‎	sanimaq	
دېمەك‎	dëmek	
ناخشا ئېيتماق‎	naxsha ëytmaq	
ئوينىماق‎	oynimaq	
لەيلىمەك‎	leylimek	
ئاقماق‎	aqmaq	
توڭلىماق‎	tonglimaq	
كۆپمەك‎	köpmek	
كۈن‎	kün	kyn
ئاي‎	ay	ʔɑj
يۇلتۇز‎	yultuz	julˈtuz
سۇ‎	su	su
يامغۇر‎	yamghur	jɑmʁur
دەريا‎	derya	
كۆل‎	köl	køl
دېڭىز‎	dë'ngiz	deŋiz
تۇز‎	tuz	tuz
تاش‎	tash	tɑʃ
قۇم‎	qum	qum
چاڭ‎	chang	
توپا‎	topa	
بۇلۇت‎	bulut	bulut
تۇمان‎	tuman	
ئاسمان‎	asman	ɑsˈmɑn
شامال‎	shamal	
قار‎	qar	qɑr
مۇز‎	muz	
تۈتۈن‎	tütün	tytyn
ئوت‎	ot	ʔot
كۈل‎	kül	kyl
كۆيمەك‎	köymek	
يول‎	yol	jol
تاغ‎	tagh	tɑʁ
قىزىل‎	qizil	
يېشىل‎	yëshil	jeˈʃil
سېرىق‎	sëriq	
ئاق‎	aq	ɑq
قارا‎	qara	
تۈن‎	tün	
كۈن‎	kün	kyn
يىل‎	yil	jil
ئىللىق‎	illiq	
سوغ‎	sogh	
تولۇق‎	toluq	
يېڭى‎	yë'ngi	
كونا‎	kona	
ياخشى‎	yaxshi	jɑχ.ʃi
يامان‎	yaman	
چىرىك‎	chirik	
كىر‎	kir	kir
ئۇدۇل‎	udul	
دوملاق‎	domlaq	
كەسكىن‎	keskin	kɛskin
ئۆتمەس‎	ötmes	
تەكشى‎	tekshi	
ھۆل‎	höl	
قۇرۇق‎	quruq	
توغرا‎	toghra	
يېقىن‎	yëqin	
يىراق‎	yiraq	
ئوڭ‎	ong	
سول‎	sol	
-دا	-da	
ئىچىدە‎	ichide	
بىلەن‎	bilen	bilɛn
ۋە‎	we	wɛ
-سا	-sa	
-غاچقا‎	-ghachqa	
ئات‎	at	ɑt
