English	Dutch	German	Yiddish	Norwegian	Icelandic	Swedish	Danish	French	Italian	Spanish	Romanian	Catalan	Neopolitan	Sicilian	Korean	Border
ʧaɪld	kɪnt	kɪnt	kɪnd	bɑːɳ	ˈpartn̥	bɑːrn	barn	ɑ̃fɑ̃	bamˈbi.no	ˈniɲo	koˈpil	ˈnən		ˌpit.t͡ʃɪˈɾi.ɖɖʊ	a̠i	x
waɪf	vrɔu	fʁaʊ̯	vaɪ̯b		ˈeiːjɪn.kʰɔːna	frʉː		fam	ˈmoʎ.ʎe	esˈposa	soˈt͡sije	muˈʎe	muʎˈʎɛ.rə	mʊɟˈɟɛ.ɾɪ	a̠ne̞	x
ˈhʌzbənd	mɑn	man		mɑnː	ˈeiːjɪn.maːðʏr	man	manˀ	maʁi	maˈri.to	esˈposo	sot͡s	məˈɾit	maˈriːtə	maˈɾi.tu	t͡ɕia̠bi	x
ˈmʌðə	ˈmudər	ˈmʊtər	ˈmʊtəʁ		ˈmouːðɪr	muːr	moːɐ̯	mɛʁ	ˈma.dre	ˈmadɾe	ˈma.mə	ˈma.ɾə		ˈma.tɹɪ	ʌ̹mʌ̹ni	x
ˈfɑːðə	ˈvaːdər	ˈfaːtər	ˈfɔtəʁ		ˈfaːðɪr	fɑːr	fɑː	pɛʁ	ˈpa.dre	ˈpadɾe	ˈta.tə	ˈpa.ɾə		ˈpa.tɹɪ	a̠bʌ̹d͡ʑi	x
ˈænɪməl	diːr	tiːr	ˈχaɪ̯ə	dyːr	tiːr	ˈjʉːr	dyːˀɐ̯	animal	a.niˈma.le	aniˈmal	a.niˈmal	ə.niˈmal		aɾˈma.lu	t͡ɕimsʰɯŋ	x
fɪʃ	vɪs	fɪʃ	fɪʃ	fɪsk	ˈfɪskʏr	fɪsk	ˈfesk	pwasõ	ˈpeʃ.ʃe	ˈpeθ	ˈpeʃ.te	ˈpeʃ	ˈpeːʃə	ˈpiʃʃɪ	muɭk͈o̞ɡi	x
bɜːd	ˈvoːɣəl	ˈfoːɡəl	ˈfɔɪ̯ɡl̩	fʉːl	fʏkl	ˈfoːɡəl	fuːˀl	wazo	utˈt͡ʃɛl.lo	ˈpaxaɾo		oˈseʎ	awˈt͡ʃiə̯ɫːɐ	aˈɕjɛɖɖu	sʰe̞	x
dɒg	hont	hʊnt	hʊnt	hʉnː	ˈhʏntʏr	hɵnd	hunˀ	ʃjɛ̃	ˈka.ne	ˈpero	ˈkɨj.ne	ˈɡos		ˈka.nɪ	ke̞ː	x
laʊs	lœys	laʊ̯s			luːs	-ʉːs		pu	piˈdɔk.kjo	ˈpjoxo		ˈpoʎ			i	x
sneɪk	slɑŋ	ˈʃlaŋə	ʃlaŋ(ɡ)		ˈstlauŋka	ˈʊrm	ˈslɑŋə	sɛʁpɑ̃	serˈpɛn.te	seɾˈpjente	ˈʃarpe	ˈseɾp			pe̞ːm	x
wɜːm	ʋɔrm	vʊrm			ˈɔrmʏr		oːˀrm	vɛʁ	ˈvɛr.me	ɡuˈsano		ˈkuk			pʌ̹ɭɭe̞	x
triː	boːm	baʊ̯m	bɔɪ̯m	tɾeː	tʰrjɛː	trɛː(d)	trɛːˀ	aʁbʁ	ˈal.be.ro	ˈaɾbol	ˈaɾ.bo.re	ˈa.bɾə			na̠mu	x
ˈfɒrɪst	ʋɔut	fɔrst		skuːɡ	ˈskouːʏr	skuːɡ	ˈsɡ̊ɒwˀ	fɔʁɛ	foˈrɛ.sta	ˈboske	pəˈdu.re	ˈbɔsk			sʰup̚	x
stɪk	stɔk	ʃtɔk			ˈstaːvʏr		kɛp	bɑtɔ̃	baˈsto.ne	ˈpalo		bəsˈto		vaˈstu.nɪ	ma̠k̚t͈e̞ɡi	x
fruːt	frœyt	frʊxt	fʁʊχt		ˈauːvœxstʏr	ˈfrɵkt	froɡt	fʁɥi	ˈfrut.ta	ˈfɾuta		ˈfɾujt			jʌ̹ɭme̞	x
siːd	zaːt	ˈzaːmən	ˈzɔɪ̯mn̩		fraiː	frøː	frœː	ɡʁɛn	ˈse.me	seˈmiʝa	səˈmɨntsə	ʎəˈvo			ɕ͈i	x
liːf	blɑt	blat	bɫat	blaːd	ˈløyv.plaːð	løːv	blad	fœj	ˈfɔʎ.ʎa	ˈoxa	ˈfrun.zə	ˈfu.ʎə		ˈfɔɡɡja	ip̚	x
ruːt	ˈʋɔrtəl	ˈvʊʁt͡sl̩			rouːt	ruːt	ˈʁoˀð	ʁasin	raˈdi.t͡ʃe	raˈiθ		əˈrɛl			p͈uɾi	x
bɑːk	sxɔrs	ˈbɔrkə			ˈpœr̥kʏr		bark	ekɔʁs	korˈtet.t͡ʃa	koɾˈteθa	ˈsko̯ar.t͡sə	əsˈkɔɾ.sə			na̠muk͈ʌ̹p̚t͡ɕ͈iɭ	x
ˈflaʊə	blum	ˈbluːmə	bɫʊm		plouːm	blʊ.ma	ˈb̥lʌmˀsd̥	flœʁ	ˈfjo.re	ˈfloɾ	ˈflo̯a.re	ˈflɔ	ˈʃoːrə		k͈o̞t̚	x
grɑːs	ɣrɑs	ɡʁaːs	ɡʁɔz		kraːs			ɛʁb	ˈɛr.ba	ˈʝeɾba	ˈjar.bə	ˈeɾ.bə	ˈɛvəɾə		pʰuɭ	x
rəʊp	tɔuw	ˈlaɪ̯nə			ˈreiːpɪ	ˈreːp		kɔʁd	ˈkɔr.da	ˈkweɾda		ˈkɔɾ.də		ˈkɔɾ.da	pa̠t̚t͡ɕ͈uɭ	x
skɪn	hœyt	haʊt	heɪt		huːð	hʉːd	-end	po	ˈpɛl.le	ˈpjel	ˈpjele	ˈpeʎ			sʰa̠ɭɡa̠t̚	x
miːt	vleːs	flaɪ̯ʃ	fɫɛɪ̯ʃ	çœt	kʰjœːt	ɕœtː	køð	vjɑ̃d	ˈkar.ne	ˈkaɾne	ˈkarne	ˈkaɾn		ˈkaɾnɪ	ko̞ɡi	x
blʌd	blut	bluːt	bɫʊt	bluː	plouːð	bluːd	ˈb̥loˀð	sɑ̃	ˈsan.ɡwe	ˈsanɡɾe	ˈsɨn.d͡ʒe	ˈsaŋk		ˈsaŋɡu	pʰi	x
bəʊn	beːn	ˈknɔχn	bɛɪ̯n		ˈpeiːn	ˈbeːn	beːˀn	ɔs	ˈɔs.so	ˈw̝eso	os	ˈɔs	ˈwoss(ə)		p͈jʌ̹	x
fæt	vɛt	fɛt			ˈfɪːta	fɛt	ˈfed̥	ɡʁɛs	ˈɡras.so	ˈɡɾasa		ˈɡɾeʃ		ˈɾassu	kiɾɯm	x
ɛg	ɛi	aɪ̯	ɛɪ̯	ɛɡ	ˈɛkː	ɛɡː	ɛːˀɡ	œf	ˈwɔ.vo	ˈw̝ebo	ow	ˈɔw	ˈuːovə	ˈɔu	a̠ɭ	x
hɔːn	ˈhoːrn	hɔrn		huːrn	hɔrtn		hoɐ̯ˀn	kɔʁn	ˈkɔr.no	ˈkweɾno	korn	ˈkɔɾn			p͈uɭ	x
teɪl	staːrt	ʃvan	ɛk		ˈhaːlɪ	svans	haːlə	kø	ˈko.da	ˈkola	ˈko̯adə	ˈku.ə			k͈o̞ɾi	x
ˈfɛðə	veːr	ˈfeːdəʁ			fjœːðʏr		fjeˀɐ̯	plym	ˈpen.na	ˈpluma				ˈpinna	kit̚tʰʌ̹ɭ	x
hɛə	haːr	haːr	hɔʁ		hauːr	hoːr	hɔːˀr	ʃəvø	kaˈpel.lo	ˈpelo	-ər	ˈpɛl	kaˈpillə		tʰʌ̹ɭ	x
hɛd	hoːft	haʊ̯pt	kɔp	ˈhoːð̩	hœːvʏθ	²hʉːvɵd	ˈhoːəð	tɛt	ˈtɛ.sta	kaˈbeθa	ˈkap	ˈkap	ˈkapə		mʌ̹ɾi	x
ɪər	oːr	oːr	ˈɔɪ.əʁ		ˈeira	²øːra	øːrə	ɔʁɛj	oˈrek.kjo	oˈɾexa	uˈre.ke	oˈɾə.ʎə			kɥi	x
aɪ	oːx	ˈaʊ̯ɡə	ɔɪ̯ɡ	ˈœ̂ʏ̯ə	ˈøyːɣa	ˈøːˌɡa	ɔjə	œj	ˈɔk.kjo	ˈoxo	okʲ	ˈuʎ	ˈwoccə	ˈɔk.kju	nun	x
nəʊz	nøːs	ˈnaːzə	nɔz		nɛːv	ˈnɛːsˌa	ˈnɛːsə	ne	ˈna.zo	naˈɾiθ	-as	ˈnas		ˈnasu	kʰo̞	x
maʊθ	mɔnt	mʊnt	mɔɪ̯ɫ		ˈmʏnːʏr	mɵn	monˀ	buʃ	ˈbok.ka	ˈboka	ˈɡu.rə	ˈbo.kə	ˈvokkə	ˈvukka	ip̚	x
tuːθ	tɑnt	t͡saːn	tsɔn		tʰœnː	ˈtand	tan	dɑ̃	ˈdɛn.te	ˈdjente	ˈdinte	ˈdent			i	x
tʌŋ	tɔŋ	ˈtsʊŋə	tsʊŋ(ɡ)		ˈtʰuŋka	²tɵŋa	ˈtˢɔŋə	lɑ̃ɡ	ˈlin.ɡwa	ˈlenɡwa	ˈlim.bə	ˈʎən.ɡwə	ˈleŋɡwə		çjʌ̹	x
ˈfɪŋgəneɪl	ˈvɪŋərˈnaːɣəl	ˈfɪŋərˌnaːɡəl		næɪl	nœkl	ˈnɑːɡɛl		ɔ̃ɡl	ˈun.ɡja	ˈuɲa	ˈuŋ.ɡje	ˈun.ɡlə	ˈoɲɲə		sʰo̞ntʰo̞p̚	x
fʊt	vut	fuːs	fʊs		ˈfouːtʏr	fuːt	ˈfoˀð	pje	ˈpjɛ.de	ˈpje	piˈt͡ʃor	ˈpɛw	ˈpɛːɾə	ˈpɛ.di	pa̠ɭ	x
lɛg	beːn	baɪ̯n	fʊs		ˈlɛkːʏr	ˈbeːn	beːˀn	ʒɑ̃b	ˈɡam.ba	ˈpjeɾna	piˈt͡ʃor	ˈka.mə		ˈjam.ma	ta̠ɾi	x
niː	kni	kniː	knɪ		n̥jɛː	knɛː		ʒənu	d͡ʒiˈnɔk.kjo	roˈdiʝa	dʒeˈnunkʲ	ʒəˈnoʎ	rəˈnucc		muɾɯp̚	x
hænd	hɑnt	hant	hant		hœnt	hand	hɔnˀ	mɛ̃	ˈma.no	ˈmano	ˈmɨ.nə	ˈma			sʰo̞n	x
wɪŋ	ˈvløːɣəl	ˈfɪtɪç			ˈvaiŋkʏr	ˈvɪŋˌɛ		ɛl	ˈa.la	ˈala	aˈri.pə	ˈa.lə	ˈʃel.lə		na̠ɭɡe̞	x
ˈbɛli	bœyk	baʊ̯x	bɔɪχ		ˈmaijɪ	²mɑːɡɛ	maːvə	vɑ̃tʁ	ˈpan.t͡ʃa	baˈriɡa	ˈbur.tə	ˈpaɲ.ʃə		ˈpãntsa	pe̞	x
gʌts	ˈdɑrmə	ˈaɪ̯nɡəvaɪ̯də			ˈɪnː.ɪplɪ		tarm	ɑ̃tʁɑj	in.teˈsti.no	ˈtɾipas		buˈdeʎs			t͡ɕʰaŋd͡ʑa	x
nɛk	nɛk	hals	haɫd͡z	hals	hauls		hals	ku	ˈkɔl.lo	ˈkweʝo	ɡɨt	ˈkɔʎ	ˈkuollə		mo̞k̚	x
bæk	rʏx	ˈʁʏkn̩			paːk	rʏɡ	ˈʁœɡ̊	do	ˈskjɛ.na	esˈpalda	ˈspate	əsˈkə.nə			tɯŋ	x
brɛst	bɔrst	bʁʊst			prjoust		brøsd	sɛ̃	ˈpɛt.to	ˈpet͡ʃo	pjept	ˈpit		ˈpɛt̪t̪u	ka̠sʰɯm	x
hɑːt	hɑrt	hɛrts	haʁt͡s	¹jɛrtɛ	ˈçar̥ta	ˈjɛrˌta	jɛrtə	kœʁ	ˈkwɔ.re	koɾaˈθon	ˈinimə	ˈkɔr	ˈkɔːrə	ˈkɔri	jʌ̹mtʰo̞ŋ	x
ˈlɪvə	ˈleːvər	ˈleːbɐ			ˈlɪːvʏr		ˈlewˀɐ	fwɑ	ˈfe.ɡa.to	ˈiɡado		ˈfe.d͡ʒə			kan	x
drɪŋk	ˈdrɪŋkə	ˈtʁɪŋkən			ˈtrɛhka	²drɪkːa	ˈd̥ʁɛɡ̊ə	bwɑʁ	ˈbe.re	beˈbeɾ	be̯a	ˈbəw.ɾə			mʌ̹k̚t͈a̠	x
iːt	ˈeːtə	ˈɛsən	ɛsn̩	ˈspiːsə	ˈpɔrða	ˈɛːˌta	spiːsə	mɑ̃ʒe	manˈd͡ʒa.re	koˈmeɾ	mɨnˈka	məɲˈʒa			mʌ̹k̚t͈a̠	x
baɪt	ˈbɛitə	ˈbaɪ̯sən	ˈbaɪ̯sn̩		ˈpiːta		ˈb̥iːðə	mɔʁdʁ	ˈmɔr.de.re	moɾˈdeɾ	muʃˈka	mo.səˈɡa			muɭda̠	x
sʌk	ˈzœyɣə	ˈlʊ.t͡ʃn̩			ˈsjuːa		sutɘ	syse	sukˈkja.re	t͡ʃuˈpaɾ	ˈsu.d͡ʒe	ʃuˈkla			p͈a̠ɭda̠	x
spɪt	ˈspywə	ˈʃpaɪ̯ən			ˈscɪr̥pa		spøtɘ	kʁaʃe	spuˈta.re	eskuˈpiɾ		əs.kuˈpi			pe̞t̚t͈a̠	x
ˈvɒmɪt	ˈbraːkə	ˈbʁɛçən			ˈaiːla	²krɛːˌkas	ˈkʰasd̥ə	vɔmiʁ	vo.miˈta.re	bomiˈtaɾ	boˈrɨ	vo.miˈta			ke̞uda̠	x
bləʊ	ˈblaːzə	ˈblaːzn̩		bloːse	ˈplauːsa		blɛːsə	sufle	sofˈfja.re	soˈplaɾ	suˈfla	buˈfa			puɭda̠	x
briːð	ˈaːdəmə	ˈaːtmən			ˈanta		ɔnə	ʁɛspiʁe	re.spiˈra.re	respiˈɾaɾ		rəs.piˈɾa			ʃʰɥida̠	x
lɑːf	ˈlɑxə	ˈlaxən	ˈɫaχn̩		ˈl̥aiːja		leˀ	ʁiʁ	ˈri.de.re	reˈiɾ	ˈrɨ.de	ˈriw.ɾə		ˈʐiː.dɪ.ɾɪ	ut̚t͈a̠	x
siː	zin	ˈzeː.ən	zɛn	seː	ˈsjauː	seː	ˈseˀ	vwaʁ	veˈde.re	ˈbeɾ	veˈde̯a	ˈvəw.ɾə			podɑ	x
hɪə	ˈhoːrə	ˈhøːrən			ˈheiːra	²høːra	ˈhøːʁə	ɑ̃tɑ̃dʁ	senˈti.re	oˈiɾ		sənˈti			tɯt̚t͈a̠	x
nəʊ	ˈʋeːtə	ˈkɛnən	vɪsn̩	²ʋiːtɛ	ˈvɪːta	²veːta	viːðə	savwaʁ	saˈpe.re	saˈbeɾ	ˈʃti	səˈbə		sa.ˈpi.ɾɪ	ɑlda	x
θɪŋk	ˈdɛŋkə	ˈdɛŋkən			ˈhʏxsa	-²ɛŋka	tɛnkə	pɑ̃se	penˈsa.re	penˈsaɾ	ku.d͡ʒeˈta	pənˈsa			he̞a̠ɾida̠	x
smɛl	ˈrœykə	ˈʁiːçn̩	ˈʃmɛkn̩		ˈlɪxta		loɡtɘ	sɑ̃tiʁ	o.doˈra.re	oˈleɾ	mi.roˈsi	o.loˈɾa			ma̠t̚t͈a̠	x
fɪə	ˈvreːzə	ˈfʏʁçtən			ˈouhtast	²vɑːra	ˈfʁ̥œɡ̊d̥ə	kʁɛ̃dʁ	teˈme.re	teˈmeɾ	ˈte.me	ˈte.mə			tuɾjʌ̹p̚t͈a̠	x
sliːp	ˈslaːpə	ˈʃlaːfn̩	ˈʃɫɔfn̩		ˈsɔːva	²soːva	sɔvə	dɔʁmiʁ	dorˈmi.re	doɾˈmiɾ	dorˈmi	duɾˈmi		ˈdɔɾ.mɪ.ɾɪ	t͡ɕ⁽ʰ⁾ada	x
lɪv	ˈleːvə	ˈleːbən	ˈɫɛbn̩		ˈlɪːva	²leːva	ˈleːʋə	vivʁ	ˈvi.ve.re	biˈbiɾ	trəˈi	ˈviw.ɾə			s⁽ʰ⁾ɑldɑ	x
daɪ	ˈstɛrvə	ˈʃtɛrbən	ˈʃtaʁbn̩		ˈteiːja	døː	ˈd̥øˀ	muʁiʁ	moˈri.re	moˈɾiɾ	muˈri	muˈɾi			t͡ɕuk̚t͈a̠	x
kɪl	ˈdoːdə	ˈtøːtən	ˈtɛjtn̩		ˈtrɛːpa	²døːda	ˈd̥ʁɛːb̥ə	tɥe	utˈt͡ʃi.de.re	maˈtaɾ	uˈtʃi.de	məˈta	atˈt͡ʃiːrərə		t͡ɕuɡida̠	x
faɪt	ˈvɛxtə	ˈfɛçtən			ˈriːvast		kɛmbə	səbatʁ	komˈbat.te.re	peleˈaɾ		ʎujˈta			ta̠tʰuda̠	x
hʌnt	ˈjaːɣə	ˈjaːɡən	ˈjɔɡŋ̩		ˈveiːða	ˈjɑːˌɡa	ˈjaːɣə	ʃase	katˈt͡ʃa.re	kaˈθaɾ		kəˈsa			sʰa̠ɲja̠ŋ	x
hɪt	slaːn	ˈʃlaːɡn̩	ˈʃɫɔɡŋ̩		ˈpɛrja	sloː	slɔːˀ	fʁape	kolˈpi.re	ɡolpeˈaɾ		kol.pəˈʒa	ˈvattərə		t͡ɕʰida̠	x
kʌt	ˈknɪpə	ˈʃnaɪ̯dn̩	ˈʃnaɪ̯dn̩		ˈscɛːra	ˈɧæːˌra	skɛːrə	kupe	taʎˈʎa.re	koɾˈtaɾ		təˈʎa			pe̞da̠	x
splɪt	ˈsplɛitə	ˈʃpaltn̩	ˈtɛɪ̯ɫn̩		ˈkʰljuːva	deːla	spletə	fɑ̃dʁ	diˈvi.de.re	paɾˈtiɾ		pəɾˈti	ˈʃpartərə		ka̠ɾɯda̠	x
stæb	ˈsteːkə	ˈʃtɛçn̩	ˈʃtɛχn̩		ˈstiŋka		ˈsd̥eɡ̊ə	pwaɲaʁde	puɲ.ɲaˈla.re	apuɲaˈlaɾ		ə.pu.ɲəˈla		t̪aɡ.ˈɡjaː.ɾɪ	t͡ɕ͈iɾɯda̠	x
skræʧ	ˈkrɑbə	ˈkʁat͡sn̩			ˈkʰlouːra		krasɘ	ɡʁate	ɡrafˈfja.re	aɾaˈɲaɾ		rəsˈpa			kɯk̚t͈a̠	x
dɪg	ˈɣraːvə	ˈɡʁaːbən		ˈɡrɑːʋ	ˈkraːva		ɡraːvə	kʁøze	skaˈva.re	kaˈbaɾ		kəˈva			pʰa̠da̠	x
swɪm	ˈzʋɛmə	ˈʃvɪmən	ˈʃvɪmən	ˈsʋœmːə	ˈsɪnta	²sɪma	svœmə	naʒe	nwoˈta.re	naˈdaɾ		nəˈda			he̞ʌ̹mt͡ɕʰida̠	x
flaɪ	ˈvliɣə	ˈfliːɡn̩		flyː	ˈfljuːa	ˈflyːˌɡa	flyːvə	vɔle	voˈla.re	boˈlaɾ	zbuˈra	voˈla			na̠ɭda̠	x
wɔːk	ˈloːpə	ˈɡeːən	ɡɛɪ̯n	ɡoː	ˈkauŋka	ɡoː	ˈɡ̊ɔˀ	maʁʃe	kam.miˈna.re	kamiˈnaɾ	ˈmer.d͡ʒe	kə.miˈna		ka.miˈna.ɾi	kʌ̹t̚t͈a̠	x
kʌm	ˈkoːmə	ˈkɔmən	ˈkʊmən		ˈkʰɔːma	²kɔma	ˈkʰʌmə	vəniʁ	veˈni.re	beˈniɾ	veˈni	vəˈni			o̞da̠	x
